abactinal,actinal
abnormal,normal
abocclusion,occlusion
absonant,sound
apolitical,political
asexual,sexual
atheist,religious
disaccordant,accordant
disaffectionate,affectionate
disagree,agree
disagreeable,agreeable
disagreeing,agreeing
disanalogous,analogous
disangelical,angelical
disbodied,embodied
discohesive,cohesive
discolored,colored
discoloured,coloured
discommodious,convenient
discompassionate,compassionate
disconformable,conformable
disconsonant,consonant
discontent,satisfied
disconvenient,convenient
discourteous,courteous
discredulous,credulous
disembodied,embodied
disgodded,godded
disidentify,identify
disinhabited,inhabited
disinhabited,inhabited
disinterested,interested
disintermediation,intermediation
disintricated,intricated
dispassionate,passionate
dispunishable,punishable
disrespectful,respectful
dissatisfied,satisfied
dissatisfy,satisfy
dissymmetrical,symmetrical
dysaemia,aemia
dysaesthesia,aesthesia
dysaesthesiae,aesthesiae
dysangiogenesis,angiogenesis
dysangiogenesis,angiogenesis
dysautonomia,autonomia
dysbacteriosis,bacteriosis
dysbacteriosis,bacteriosis
dysbalanced,balanced
dysbalanced,balanced
dyscognitive,cognitive
dyscognitive,cognitive
dysconnectivity,connectivity
dysconnectivity,connectivity
dyscontrol,control
dyscontrol,control
dyscoordination,coordination
dyserythropoietic,erythropoietic
dysexecutive,executive
dysexpression,expression
dysfluency,fluency
dysfluent,fluent
dysfunctional,functional
dysgenesis,genesis
dysgenetic,genetic
dysgenic,genic
dysglycaemia,glycaemia
dysgranulopoiesis,granulopoiesis
dysgraphia,graphia
dyslamination,lamination
dyslogistic,logistic
dysmature,mature
dysmaturity,maturity
dysmenorrhea,menorrhea
dysmetabolism,metabolism
dysmorphogenesis,morphogenesis
dysmorphology,morphology
dysmotility,motility
dysphasia,phasia
dysplasia,plasia
dysregulatem,regulate
dysregulation,regulation
dysrhythmic,rhythmic
dyssynchronization,synchronization
dyssynchronous,synchronous
dyssynchrony,synchrony
dysthanasia,thanasia
dysthyroid,thyroid
dysthyroidal,thyroidal
dystrophy,trophy
dysventilation,ventilation
dysæsthesia,æsthesia
dysæsthesiæ,æsthesiæ
illapsable,capable of lapse or error
illeviable,leviable
illimitable,limitable
illimitation,limitation
illimited,limited
illiquid,liquid
illiteracy,literacy
illiteral,literal
illiterate,literate
illogic,logic
illogical,loguical
illoricate,loricate
illoricated,loricated
immalleable,malleable
immarginate,marginate
immartial,martial
immatchable,matchable
immaterial,material
immeasurable,measurable
immeasured,measured
immechanical,mechanical
immelodious,melodious
immensurate,limited
immerited,merited
immetrical,metrical
immitigable,mitigable
immixable,mixable
immixed,mixed
immoderated,oderated
immoderation,moderation
immoral,moral
immorigerous,civil
immovable,movable
immusical,musical
immutable,mutable
impalatable,palatable
impalpable,palpable
impartial,partial
impartible,divisible
imperceivable,perceivable
imperceived,perceived
imperfect,perfect
imperfectible,perfectible
imperishable,perishable
impermanent,permanent
impermissible,permissible
impermissive,permissive
impersuadable,persuadable
impersuasible,ersuasible
imperturbed,perturbed
impierceable,pierceable
implausible,plausible
impleadable,pleadable
impleasing,pleasing
impliable,pliable
implumed,plumed
impolitic,politic
imporosity,porosity
imporous,porous
impredictable,predictable
imprescriptible,prescriptible
impreventable,preventable
improbable,probable
improbity,probity
improfitable,profitable
improgressive,progressive
improlific,prolific
imprompt,prompt
impropitious,propitious
improportionable,proportionable
improportionate,proportionate
improsperous,prosperous
improvided,expected -not
imprudence,prudence
imprudent,prudent
impunctate,punctate
impunctual,punctual
